,orn_peak_ch,orn_peak_lat,orn_peak_amp,orn_mean_amp,pid,condition,ds
119,,,,,15,changing,orn_standards
120,F3,0.13,-3.496342447638779,-2.2422523594105006,16,changing,orn_standards
121,FC2,0.13,-3.0044316556919197,-2.378556007319571,17,changing,orn_standards
122,F4,0.11,-3.068010841297753,-1.6321080925629852,18,changing,orn_standards
123,Cz,0.14,-1.8344699136582656,-0.9418469999853928,19,changing,orn_standards
124,Cz,0.148,-1.6063585929031239,-0.5820114894236489,20,changing,orn_standards
125,FC2,0.15,-1.8328792756484598,-0.9791566942093718,21,changing,orn_standards
126,Cz,0.139,-1.9403730077745753,-0.5774136226760274,22,changing,orn_standards
127,F4,0.198,-4.965825753703717,-1.4151644926146147,23,changing,orn_standards
128,Cz,0.117,-4.873733406270291,-2.7112649801887234,24,changing,orn_standards
129,FC1,0.133,-1.0385142055125622,-0.6721354327032046,25,changing,orn_standards
130,FC2,0.128,-1.4009880119556268,-0.617107228043145,26,changing,orn_standards
131,FC1,0.182,-1.8725959554900995,-0.8338002205332027,29,changing,orn_standards
132,Cz,0.17,-3.203224347371542,-1.8588622566426993,30,changing,orn_standards
133,F4,0.142,-1.0637038013374298,0.1836041561189395,31,changing,orn_standards
134,FC2,0.144,-4.0345961461222615,-3.153438921987209,32,changing,orn_standards
135,FC2,0.131,-2.312014952676359,-1.6631571551128808,33,changing,orn_standards
136,FC1,0.136,-2.516026973629997,-1.2726141278146623,34,changing,orn_standards
137,F4,0.137,-0.911078689785695,-0.422813378454172,35,changing,orn_standards
138,Cz,0.145,-0.7556797144751132,0.38916826707341645,36,changing,orn_standards
139,Cz,0.127,-1.3576747201838983,-0.2175708409739486,37,changing,orn_standards
